seed,gen,best_ppf,sigma,h_sens_pop,div,stag,n_al
42,243,1.7889388799667358,0.06055358797311783,1.508911742142064,1.0,6,50
42,244,1.7889388799667358,0.06055358797311783,1.504591493635086,1.0,7,50
42,245,1.7889388799667358,0.06055358797311783,1.5260611862260645,1.0,8,50
42,246,1.7889388799667358,0.06055358797311783,1.513302881108092,1.0,9,50
42,247,1.7889388799667358,0.06055358797311783,1.5196207408657045,1.0,10,50
42,248,1.7889388799667358,0.06055358797311783,1.4930106285959908,1.0,11,50
42,249,1.7889388799667358,0.06055358797311783,1.4897356732673086,1.0,12,50
42,250,1.7889388799667358,0.06055358797311783,1.4724515223795551,1.0,13,50
137,1,1.8540133237838745,0.0797126516699791,1.7403988783445918,1.0,0,22
137,2,1.8540133237838745,0.0797126516699791,1.7187980349928287,1.0,1,46
137,3,1.8540133237838745,0.0797126516699791,1.7109951410614923,1.0,2,50
137,4,1.8401681184768677,0.05431361123919487,1.7152526569716475,1.0,0,50
137,5,1.8401681184768677,0.05431361123919487,1.7158414860176177,1.0,1,50
137,6,1.8401681184768677,0.05431361123919487,1.6778914607385231,1.0,2,50
137,7,1.8323947191238403,0.062230974435806274,1.7015117776102864,1.0,0,50
137,8,1.8323947191238403,0.062230974435806274,1.7125968653827714,1.0,1,50
137,9,1.8323947191238403,0.062230974435806274,1.6901977997955553,1.0,2,50
137,10,1.8323947191238403,0.062230974435806274,1.6746972586703277,1.0,3,50
137,11,1.8323947191238403,0.062230974435806274,1.6783194280078182,1.0,4,50
137,12,1.8323947191238403,0.062230974435806274,1.693825986533748,1.0,5,50
137,13,1.8323947191238403,0.062230974435806274,1.6977681486899148,1.0,6,50
137,14,1.8323947191238403,0.062230974435806274,1.7043187717007078,1.0,7,50
137,15,1.8323947191238403,0.062230974435806274,1.6962245913197478,1.0,8,50
137,16,1.8323947191238403,0.062230974435806274,1.6943004449090289,1.0,9,50
137,17,1.8323947191238403,0.062230974435806274,1.6859924188872053,1.0,10,50
137,18,1.8323947191238403,0.062230974435806274,1.672385506769593,1.0,11,50
137,19,1.8323947191238403,0.062230974435806274,1.6786302614720126,1.0,12,50
137,20,1.8323947191238403,0.062230974435806274,1.688570987434935,1.0,13,50
137,21,1.8323947191238403,0.062230974435806274,1.690612632742175,1.0,14,50
137,22,1.8305621147155762,0.07362765818834305,1.69285519231488,1.0,0,50
137,23,1.8305621147155762,0.07362765818834305,1.715482656725991,1.0,1,50
137,24,1.8305621147155762,0.07362765818834305,1.7203337999409356,1.0,2,50
137,25,1.8305621147155762,0.07362765818834305,1.7312351282915233,1.0,3,50
137,26,1.8305621147155762,0.07362765818834305,1.7527516926637854,1.0,4,50
137,27,1.8305621147155762,0.07362765818834305,1.7288769728429323,1.0,5,50
137,28,1.8305621147155762,0.07362765818834305,1.7021768057867115,1.0,6,50
137,29,1.8305621147155762,0.07362765818834305,1.735838419375775,1.0,7,50
137,30,1.8305621147155762,0.07362765818834305,1.7061051423769653,1.0,8,50
137,31,1.8305621147155762,0.07362765818834305,1.6986376039644262,1.0,9,50
137,32,1.8305621147155762,0.07362765818834305,1.7139597094770649,1.0,10,50
137,33,1.8274891376495361,0.05949444696307182,1.7064610847963093,1.0,0,50
137,34,1.8274891376495361,0.05949444696307182,1.7183748059515833,1.0,1,50
137,35,1.8274891376495361,0.05949444696307182,1.7168042157092218,1.0,2,50
137,36,1.8274891376495361,0.05949444696307182,1.6988685887207344,1.0,3,50
137,37,1.8274891376495361,0.05949444696307182,1.6749271614759118,1.0,4,50
137,38,1.8274891376495361,0.05949444696307182,1.6762650221532625,1.0,5,50
137,39,1.8274891376495361,0.05949444696307182,1.6949704419111198,1.0,6,50
137,40,1.8274891376495361,0.05949444696307182,1.6753878440574037,1.0,7,50
137,41,1.8274891376495361,0.05949444696307182,1.6853530287005682,1.0,8,50
137,42,1.8274891376495361,0.05949444696307182,1.683763167475321,1.0,9,50
137,43,1.8274891376495361,0.05949444696307182,1.7090005631958305,1.0,10,50
137,44,1.8274891376495361,0.05949444696307182,1.7047605198520923,1.0,11,50
137,45,1.8274891376495361,0.05949444696307182,1.6997020026181728,1.0,12,50
137,46,1.8274891376495361,0.05949444696307182,1.7142879991683553,1.0,13,50
137,47,1.8274891376495361,0.05949444696307182,1.705511890750068,1.0,14,50
137,48,1.8274891376495361,0.05949444696307182,1.726601525779351,1.0,15,50
137,49,1.8089113235473633,0.057431455701589584,1.7093494759913326,1.0,0,50
137,50,1.8089113235473633,0.057431455701589584,1.696644519162447,1.0,1,50
137,51,1.8089113235473633,0.057431455701589584,1.6835232058973195,1.0,2,50
137,52,1.8089113235473633,0.057431455701589584,1.6754640396067686,1.0,3,50
137,53,1.8089113235473633,0.057431455701589584,1.6752153131232412,1.0,4,50
137,54,1.8089113235473633,0.057431455701589584,1.6772031389955258,1.0,5,50
137,55,1.8089113235473633,0.057431455701589584,1.685699158739219,1.0,6,50
137,56,1.8089113235473633,0.057431455701589584,1.6878553177826954,1.0,7,50
137,57,1.8089113235473633,0.057431455701589584,1.6819887473716721,1.0,8,50
137,58,1.8089113235473633,0.057431455701589584,1.6957996661477304,1.0,9,50
137,59,1.8089113235473633,0.057431455701589584,1.7054607237697594,1.0,10,50
137,60,1.8089113235473633,0.057431455701589584,1.7049024014910854,1.0,11,50
137,61,1.8089113235473633,0.057431455701589584,1.6839872384698786,1.0,12,50
137,62,1.8089113235473633,0.057431455701589584,1.6714082186737538,1.0,13,50
137,63,1.8089113235473633,0.057431455701589584,1.673933278565998,1.0,14,50
137,64,1.8089113235473633,0.057431455701589584,1.656885063090479,1.0,15,50
137,65,1.8089113235473633,0.057431455701589584,1.665449885622628,1.0,16,50
137,66,1.8089113235473633,0.057431455701589584,1.687100554875582,1.0,17,50
137,67,1.8089113235473633,0.057431455701589584,1.7032490571391792,1.0,18,50
137,68,1.8089113235473633,0.057431455701589584,1.679618558680018,1.0,19,50
137,69,1.8089113235473633,0.057431455701589584,1.6971674053514185,1.0,0,50
137,70,1.8089113235473633,0.057431455701589584,1.6832522025670293,1.0,1,50
137,71,1.8089113235473633,0.057431455701589584,1.6426025449529547,1.0,2,50
137,72,1.8089113235473633,0.057431455701589584,1.6485798134193224,1.0,3,50
137,73,1.8089113235473633,0.057431455701589584,1.6671321344735979,1.0,4,50
137,74,1.8089113235473633,0.057431455701589584,1.6342993307040323,1.0,5,50
137,75,1.8089113235473633,0.057431455701589584,1.6326811077823338,1.0,6,50
137,76,1.8089113235473633,0.057431455701589584,1.6589964902171328,1.0,7,50
137,77,1.8089113235473633,0.057431455701589584,1.6426327752996932,1.0,8,50
137,78,1.8089113235473633,0.057431455701589584,1.6380724246165634,1.0,9,50
137,79,1.8089113235473633,0.057431455701589584,1.664828985623369,1.0,10,50
137,80,1.8089113235473633,0.057431455701589584,1.7017736353503472,1.0,11,50
137,81,1.8089113235473633,0.057431455701589584,1.7009287577698142,1.0,12,50
137,82,1.8089113235473633,0.057431455701589584,1.6960838725759801,1.0,13,50
137,83,1.8089113235473633,0.057431455701589584,1.6937815605818145,1.0,14,50
137,84,1.8089113235473633,0.057431455701589584,1.6693832689872514,1.0,15,50
137,85,1.8089113235473633,0.057431455701589584,1.678396017529094,1.0,16,50
137,86,1.8089113235473633,0.057431455701589584,1.6897947156913096,1.0,17,50
137,87,1.8089113235473633,0.057431455701589584,1.6977308321718398,1.0,18,50
137,88,1.8089113235473633,0.057431455701589584,1.6486356273813707,1.0,19,50
137,89,1.8089113235473633,0.057431455701589584,1.6875721869214104,1.0,0,50
137,90,1.8089113235473633,0.057431455701589584,1.6793852777190117,1.0,1,50
137,91,1.7887768745422363,0.056764524430036545,1.6532638549277543,1.0,0,50
137,92,1.7887768745422363,0.056764524430036545,1.659236895754321,1.0,1,50
137,93,1.7887768745422363,0.056764524430036545,1.657743273522006,1.0,2,50
137,94,1.7887768745422363,0.056764524430036545,1.6647751663216657,1.0,3,50
137,95,1.7887768745422363,0.056764524430036545,1.68052196821093,1.0,4,50
137,96,1.7887768745422363,0.056764524430036545,1.6781725152798996,1.0,5,50
137,97,1.7887768745422363,0.056764524430036545,1.6791398741804553,1.0,6,50
137,98,1.7887768745422363,0.056764524430036545,1.6880102404253576,1.0,7,50
137,99,1.7887768745422363,0.056764524430036545,1.6880688739694616,1.0,8,50
137,100,1.7887768745422363,0.056764524430036545,1.6611856472564221,1.0,9,50
137,101,1.7887768745422363,0.056764524430036545,1.6712529415340696,1.0,10,50
137,102,1.7887768745422363,0.056764524430036545,1.6736700001656697,1.0,11,50
