arm,seed,gen,best_ppf,sigma,h_hist_pop,div,stag,n_al
A_baseline,137,14,1.797544240951538,0.05951550975441933,1.707952777362691,1.0,7,50
A_baseline,137,15,1.797544240951538,0.05951550975441933,1.6876348576921114,1.0,8,50
A_baseline,137,16,1.797544240951538,0.05951550975441933,1.6683324846862981,1.0,9,50
A_baseline,137,17,1.797544240951538,0.05951550975441933,1.6846631207326566,1.0,10,50
A_baseline,137,18,1.797544240951538,0.05951550975441933,1.6849905464775639,1.0,11,50
A_baseline,137,19,1.797544240951538,0.05951550975441933,1.6768335782584254,1.0,12,50
A_baseline,137,20,1.797544240951538,0.05951550975441933,1.683159536326887,1.0,13,50
A_baseline,137,21,1.797544240951538,0.05951550975441933,1.6705539838198669,1.0,14,50
A_baseline,137,22,1.797544240951538,0.05951550975441933,1.6975050674159715,1.0,15,50
A_baseline,137,23,1.797544240951538,0.05951550975441933,1.7142599793620141,1.0,16,50
A_baseline,137,24,1.797544240951538,0.05951550975441933,1.6852597884398983,1.0,17,50
A_baseline,137,25,1.797544240951538,0.05951550975441933,1.7040778714258686,1.0,18,50
A_baseline,137,26,1.797544240951538,0.05951550975441933,1.742639737371374,1.0,19,50
A_baseline,137,27,1.797544240951538,0.05951550975441933,1.7261247121071046,1.0,0,50
A_baseline,137,28,1.797544240951538,0.05951550975441933,1.7130877301442688,1.0,1,50
A_baseline,137,29,1.797544240951538,0.05951550975441933,1.6948636661564214,1.0,2,50
A_baseline,137,30,1.797544240951538,0.05951550975441933,1.708454309469226,1.0,3,50
A_baseline,137,31,1.797544240951538,0.05951550975441933,1.7019093856457115,1.0,4,50
A_baseline,137,32,1.797544240951538,0.05951550975441933,1.6990767904872175,1.0,5,50
A_baseline,137,33,1.797544240951538,0.05951550975441933,1.6788990197000726,1.0,6,50
A_baseline,137,34,1.797544240951538,0.05951550975441933,1.6715060866629161,1.0,7,50
A_baseline,137,35,1.797544240951538,0.05951550975441933,1.7066115895297969,1.0,8,50
A_baseline,137,36,1.797544240951538,0.05951550975441933,1.7038893994244342,1.0,9,50
A_baseline,137,37,1.797544240951538,0.05951550975441933,1.6961399749179233,1.0,10,50
A_baseline,137,38,1.797544240951538,0.05951550975441933,1.721517416063898,1.0,11,50
A_baseline,137,39,1.797544240951538,0.05951550975441933,1.6845951775087802,1.0,12,50
A_baseline,137,40,1.797544240951538,0.05951550975441933,1.6875748704823348,1.0,13,50
A_baseline,137,41,1.797544240951538,0.05951550975441933,1.6843091882421688,1.0,14,50
