seed,gen,best_ppf,best_cycle,best_fit,stag,H_mean,H_sens
137,15,1.6560601,331.058,-1.6560601,0,0.8083408529090611,0.762509411773072
137,16,1.6487112,345.7048,-1.6487112,0,0.7628585216734288,0.7116975468335666
137,17,1.6445041,325.43146,-1.6445041,0,0.6995572382715471,0.6577878566983253
137,18,1.6321818,345.16916,-1.6321818,0,0.6699272891881359,0.6154121534164165
137,19,1.6321818,345.16916,-1.6321818,1,0.6468595218723646,0.5857017194180845
137,20,1.630784,348.85892,-1.630784,0,0.6017569321969007,0.5489115565367801
137,21,1.613174,345.03244,-1.613174,0,0.6004205119580741,0.5526746294991461
137,22,1.6078736,348.48364,-1.6078736,0,0.6142181037153122,0.5629509044121804
137,23,1.5989215,337.79953,-1.5989215,0,0.5696401886212207,0.5262336104201162
137,24,1.5989215,337.79953,-1.5989215,1,0.5110187513404446,0.46800513000875704
137,25,1.590924,336.01324,-1.590924,0,0.4846991000577674,0.44367630400609104
137,26,1.590924,336.01324,-1.590924,1,0.3907069825643675,0.3626395717144646
137,27,1.5862916,332.28268,-1.5862916,0,0.37778209882742636,0.3407353640544429
137,28,1.5862916,332.28268,-1.5862916,1,0.3504423473527042,0.31445391815947665
137,29,1.5860007,332.52158,-1.5860007,0,0.3507173812962976,0.30854544717053933
137,30,1.5857347,332.28717,-1.5857347,0,0.28806970328952064,0.2595569281709641
137,31,1.5857347,332.28717,-1.5857347,1,0.2588551210274537,0.23803463112789133
137,32,1.5857347,332.28717,-1.5857347,2,0.1849476395591765,0.16584331018883225
137,33,1.5812037,331.85013,-1.5812037,0,0.16832937291450187,0.15031136217061053
137,34,1.5812037,331.85013,-1.5812037,1,0.19750023176941348,0.1809630472429103
137,35,1.5812037,331.85013,-1.5812037,2,0.21957816843595945,0.2004777073617055
137,36,1.5770527,330.67328,-1.5770527,0,0.22011464807272216,0.19805826232620116
137,37,1.5770527,330.67328,-1.5770527,1,0.2183080014785528,0.19532409791157024
137,38,1.5770527,330.67328,-1.5770527,2,0.24849027896057094,0.23005561772249702
137,39,1.5766459,332.05957,-1.5766459,0,0.24722343424720195,0.226709977572548
137,40,1.5702741,335.15067,-1.5702741,0,0.2246657058047027,0.20483255911128898
137,41,1.5682849,335.22726,-1.5682849,0,0.21760098883263887,0.19912985028154234
137,42,1.5675344,335.3376,-1.5675344,0,0.2322709999076959,0.21359118767900764
137,43,1.5675344,335.3376,-1.5675344,1,0.23802599293665214,0.22751686292260345
137,44,1.5675344,335.3376,-1.5675344,2,0.19942687122492148,0.18707215237455008
137,45,1.5675344,335.3376,-1.5675344,3,0.1621445765748555,0.14793123071575365
137,46,1.5675344,335.3376,-1.5675344,4,0.18543310912058805,0.1750801726327311
137,47,1.5674282,338.09067,-1.5674282,0,0.19147281643899267,0.1833835518361219
137,48,1.5674282,338.09067,-1.5674282,1,0.19342647091302453,0.1873336452604285
137,49,1.5674282,338.09067,-1.5674282,2,0.13806559377758543,0.12783936839698146
137,50,1.5674282,338.09067,-1.5674282,3,0.16174611560420424,0.15434027745435117
137,51,1.5674282,338.09067,-1.5674282,4,0.17612547306099027,0.17235864526336336
137,52,1.5674282,338.09067,-1.5674282,5,0.12720344060618777,0.12183099550590924
137,53,1.5661793,338.38168,-1.5661793,0,0.12758304150670632,0.12476428758180506
137,54,1.5653312,333.99084,-1.5653312,0,0.12996787445469324,0.12657781457573933
137,55,1.5653312,333.99084,-1.5653312,1,0.13866414277507982,0.13098660937143117
137,56,1.5653312,333.99084,-1.5653312,2,0.16794126623271827,0.1562952760303768
137,57,1.565001,334.1656,-1.565001,0,0.16712967867188852,0.15619917293311625
137,58,1.565001,334.1656,-1.565001,1,0.1849983583052624,0.17250824033025916
137,59,1.5632544,333.84998,-1.5632544,0,0.18633385171072117,0.17487678795609213
137,60,1.5632544,333.84998,-1.5632544,1,0.19093948722223406,0.17843734465937688
137,61,1.5608336,338.37595,-1.5608336,0,0.19405533233250438,0.17455331110910047
137,62,1.5608336,338.37595,-1.5608336,1,0.19559642854049814,0.17492762000878742
137,63,1.5608336,338.37595,-1.5608336,2,0.21156262984809682,0.18615622780010405
137,64,1.5593086,340.1707,-1.5593086,0,0.20757277808971925,0.17964692483974876
137,65,1.5593086,340.1707,-1.5593086,1,0.21574666513087634,0.18701970275926716
137,66,1.5593086,340.1707,-1.5593086,2,0.18620537458219477,0.15558341479825621
137,67,1.5593086,340.1707,-1.5593086,3,0.21022232088535936,0.18960073946928999
137,68,1.5593086,340.1707,-1.5593086,4,0.17512386726826124,0.1560237329001724
137,69,1.5593086,340.1707,-1.5593086,5,0.18011324698194783,0.15839362777831448
137,70,1.5586746,337.53812,-1.5586746,0,0.18453818180194187,0.16244937232999776
137,71,1.5586746,337.53812,-1.5586746,1,0.09777073281473199,0.09278259013747318
137,72,1.5586746,337.53812,-1.5586746,2,0.1335988137180184,0.13065348818588696
137,73,1.5581913,340.099,-1.5581913,0,0.15251020077589877,0.1461447124549705
137,74,1.5581913,340.099,-1.5581913,1,0.1732307961083255,0.15914180966337785
137,75,1.5581913,340.099,-1.5581913,2,0.16810223010182387,0.15476195671570547
137,76,1.5581913,340.099,-1.5581913,3,0.18324217708399462,0.16591390960653413
137,77,1.5581913,340.099,-1.5581913,4,0.1880188909139285,0.16656732068117036
137,78,1.5581913,340.099,-1.5581913,5,0.18624896953629627,0.17396709542166422
137,79,1.5581913,340.099,-1.5581913,6,0.16512094924183862,0.1510766490368897
137,80,1.5581913,340.099,-1.5581913,7,0.1519940130577486,0.1450054848006908
137,81,1.5581913,340.099,-1.5581913,8,0.13640132248250425,0.13030080788802004
137,82,1.5581913,340.099,-1.5581913,9,0.13887533316049425,0.13269709957573342
