seed,gen,best_ppf,best_fit,sigma,h_sens_pop,div,stag,n_al_global
137,49,1.9831373691558838,341.4464111328125,0.07102782279253006,1.7198393457528576,1.0,0,64
137,50,1.9831373691558838,341.4464111328125,0.07102782279253006,1.7233058886398698,1.0,1,64
137,51,1.9831373691558838,341.4464111328125,0.07102782279253006,1.7309929667720663,1.0,2,64
137,52,1.9831373691558838,341.4464111328125,0.07102782279253006,1.7149591586610995,1.0,3,64
137,53,1.9831373691558838,341.4464111328125,0.07102782279253006,1.7241549188747562,1.0,4,64
137,54,1.9831373691558838,341.4464111328125,0.07102782279253006,1.7124441261831844,1.0,5,64
137,55,1.9831373691558838,341.4464111328125,0.07102782279253006,1.7041812950448147,1.0,6,64
137,56,1.9831373691558838,341.4464111328125,0.07102782279253006,1.7047675090901735,1.0,7,64
137,57,1.9831373691558838,341.4464111328125,0.07102782279253006,1.7120499102928692,1.0,8,64
137,58,1.9831373691558838,341.4464111328125,0.07102782279253006,1.7185047337901256,1.0,9,64
137,59,1.9831373691558838,341.4464111328125,0.07102782279253006,1.7385105650327752,1.0,10,64
137,60,1.9831373691558838,341.4464111328125,0.07102782279253006,1.7391591608553902,1.0,11,64
137,61,1.9831373691558838,341.4464111328125,0.07102782279253006,1.7043866135104149,1.0,12,64
137,62,1.9831373691558838,341.4464111328125,0.07102782279253006,1.6880573218623993,1.0,13,64
137,63,1.9831373691558838,341.4464111328125,0.07102782279253006,1.6719252227452768,1.0,14,64
137,64,1.9831373691558838,341.4464111328125,0.07102782279253006,1.6710210901765215,1.0,0,64
137,65,1.9831373691558838,341.4464111328125,0.07102782279253006,1.6569870346776416,1.0,1,64
137,66,1.9831373691558838,341.4464111328125,0.07102782279253006,1.644568158006886,1.0,2,64
137,67,1.9831373691558838,341.4464111328125,0.07102782279253006,1.6872358078115415,1.0,3,64
137,68,1.9831373691558838,341.4464111328125,0.07102782279253006,1.6965948895760128,1.0,4,64
137,69,1.9831373691558838,341.4464111328125,0.07102782279253006,1.6799139386305362,1.0,5,64
137,70,1.9831373691558838,341.4464111328125,0.07102782279253006,1.6638734496527745,1.0,6,64
137,71,1.9831373691558838,341.4464111328125,0.07102782279253006,1.6652863487331104,1.0,7,64
137,72,1.9831373691558838,341.4464111328125,0.07102782279253006,1.6657444642303727,1.0,8,64
137,73,1.9831373691558838,341.4464111328125,0.07102782279253006,1.6674566511349762,1.0,9,64
137,74,1.9831373691558838,341.4464111328125,0.07102782279253006,1.6696286302920527,1.0,10,64
137,75,1.9831373691558838,341.4464111328125,0.07102782279253006,1.6770479450131746,1.0,11,64
137,76,1.9831373691558838,341.4464111328125,0.07102782279253006,1.6890314343531232,1.0,12,64
137,77,1.9831373691558838,341.4464111328125,0.07102782279253006,1.674254910367919,1.0,13,64
137,78,1.9831373691558838,341.4464111328125,0.07102782279253006,1.6764028452897957,1.0,14,64
137,79,1.9831373691558838,341.4464111328125,0.07102782279253006,1.6851157573560949,1.0,0,64
137,80,1.9831373691558838,341.4464111328125,0.07102782279253006,1.7047560885119626,1.0,1,64
137,81,1.9831373691558838,341.4464111328125,0.07102782279253006,1.687995636947562,1.0,2,64
137,82,1.9831373691558838,341.4464111328125,0.07102782279253006,1.6512788344209934,1.0,3,64
137,83,1.9831373691558838,341.4464111328125,0.07102782279253006,1.6491690685431784,1.0,4,64
137,84,1.9831373691558838,341.4464111328125,0.07102782279253006,1.6454921305823642,1.0,5,64
137,85,1.9831373691558838,341.4464111328125,0.07102782279253006,1.6460750592189564,1.0,6,64
137,86,1.9831373691558838,341.4464111328125,0.07102782279253006,1.6771665795624406,1.0,7,64
137,87,1.9831373691558838,341.4464111328125,0.07102782279253006,1.6508664552828896,1.0,8,64
137,88,1.9831373691558838,341.4464111328125,0.07102782279253006,1.6592461652096424,1.0,9,64
137,89,1.9831373691558838,341.4464111328125,0.07102782279253006,1.6623315173839404,1.0,10,64
137,90,1.9831373691558838,341.4464111328125,0.07102782279253006,1.6537672741015903,1.0,11,64
137,91,1.9831373691558838,341.4464111328125,0.07102782279253006,1.6412013557136511,1.0,12,64
